Annova gene	Phenotype MIM number
RPGR	"视网膜色素变性3型(300029,XLR);视网膜色素变性-中呼吸感染伴或不伴有耳聋(300455,XR);视杆视锥营养不良X连锁1型(304020,XL)"
MECP2	"综合征性精神发育迟滞X连锁13型(300055,XLR)"
CACNA1F	"先天性静止性夜盲2A型(300071,XL);视杆视锥营养不良X连锁3型(300476,XLR);亚兰德（Aland）岛眼病(300600,XL)"
PCDH19	"婴儿早期癫痫性脑病9型(300088,XL)"
BCOR	"综合征性小眼球2型(300166,XLD)"
CUL4B	"综合征性精神发育迟滞15型(300354,XLR)"
OFD1	"视网膜色素变性23型(300424,XLR);Joubert综合征10型(300804,XLR);口面指综合征1型(311200,XLD)"
IGBP1	"胼胝体发育不全-智力迟钝-眼部缺损-小颌畸形(300472,XLR)"
GPR143	"眼白化病1型(300500,XR);先天性眼球震颤6型(300814,XL)"
SMC1A	"德朗热综合征2型(300590,XLD)"
ARHGEF9	"婴儿早期癫痫性脑病8型(300607,XLR)"
FMR1	"脆性X综合征(300624,XLD)"
CDKL5	"婴儿早期癫痫性脑病2型(300672,XLD)"
GRIA3	"精神发育迟滞X连锁94型(300699,XLR)"
KDM6A	"Kabuki综合征2型(300867,XLD)"
PIGA	"婴儿早期癫痫性脑病20型(300868,XLR)"
HDAC8	"德朗热综合征5型(300882,XLD)"
ALG13	"婴儿早期癫痫性脑病36型(300884,XLD)"
CLIC2	"综合征性精神发育迟滞X连锁32型(300886,XLR)"
COX7B	"线状皮肤缺损伴多发性先天畸形2型(300887,XLD)"
WDR45	"伴脑内铁沉积神经退行性病变5型(300894,XLD)"
SLC35A2	"婴儿早期癫痫性脑病22型(300896,XLD,?SMo)"
PDK3	"腓骨肌萎缩症6型(300905,XLD)"
HMGB3	"综合征性小眼球13型(300915,XLR)"
NDUFB11	"线状皮肤缺损伴多发性先天畸形3型(300952,XLD)"
TAF1	"综合征性精神发育迟滞X连锁33型(300966,XLR)"
COL4A5	"遗传性肾炎X连锁(301050,XLD)"
POLA1	"网状色素性疾病(301220,XLR)"
GLA	"法布瑞氏症(301500,XL)"
PHF6	"Borjeson-Forssman-Lehmann综合征(301900,XLR)"
TAZ	"3-甲基戊烯二酸尿症2型(302060,XLR)"
NHS	"白内障40型(302200,XL);Nance-Horan综合征(302350,XLD)"
ATP2B3	"脊髓小脑性共济失调X连锁1型(302500,XLR)"
ARSE	"斑点状软骨发育异常(302950,XLR)"
EBP	"斑点状软骨发育异常(302960,XLD)"
CHM	"无脉络膜(303100,XLD)"
L1CAM	"痉挛性截瘫1型(303350,XLR)"
OPN1LW	"色盲蓝视锥全(303700,XLR);色盲-红(303900,XL)"
OPN1MW	"色盲蓝视锥全(303700,XLR);色盲-绿(303800,XL)"
AP1S2	"综合征性精神发育迟滞X连锁5型(304340,XLR)"
DKC1	"先天性角化不良症X连锁(305000,XLR)"
EDA	"少汗性外胚层发育不良1型(305100,XLR)"
NDP	"渗出性视网膜病变2型(305390,XR);Norrie病(310600,XLR)"
PORCN	"灶性皮肤发育不全(305600,XLD)"
CYBB	"X连锁慢性肉芽肿病(306400,XLR)"
STS	"鱼鳞病X连锁(308100,XLR)"
IKBKG	"色素失禁症(308300,XLD)"
ARX	"婴儿早期癫痫性脑病1型(308350,XLR)"
OCRL	"Lowe综合征(309000,XLR)"
CHRDL1	"球形角膜(309300,XLR)"
FLNA	"Melnick-Needles综合征(309350,XLD)"
ATP7A	"Menkes病(309400,XLR)"
IQSEC2	"智力迟钝1型X连锁(309530,XLD)"
ATRX	"智力低下-低张力脸综合征(309580,XLR)"
NAA10	"综合征性小眼球1型(309800,XLR)"
HCCS	"综合征性小眼球7型(309801,XLD)"
IDS	"粘多糖贮积症2型(309900,XLR)"
DMD	"杜氏肌营养不良(310200,XLR)"
MTM1	"X连锁中央核肌病(310400,XLR)"
NYX	"先天性静止性夜盲1A型(310500,XLR)"
PRPS1	"腓骨肌萎缩症5型(311070,XLR)"
RP2	"视网膜色素变性2型(312600,XLR)"
RS1	"视网膜劈裂(312700,XLD)"
PLP1	"痉挛性截瘫2型(312920,XLR)"
tRNA-Tyr	"Kearn-Sayre综合征(530000,MI)"
RRM2B	"Kearn-Sayre综合征(530000,AD,AR);进行性眼外肌麻痹AD5型(613077,AD)"
ATP8	"Kearn-Sayre综合征(530000,MI)"
tRNA-Gln	"线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI);肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
tRNA-His	"线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI);肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
tRNA-Cys	"线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI)"
tRNA-Ser1	"线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI);肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
tRNA-Ser2	"线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI);肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI);视网膜色素变性8型(500004,MI)"
RNR1	"肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
tRNA-Phe	"肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
tRNA-Ile	"肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
tRNA-Pro	"肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
PRPF8	"视网膜色素变性13型(600059,AD)"
RAB3GAP1	"Warburg?micro综合征1型(600118,AR)"
AGPS	"髋肩型点状软骨发育不良3型(600121,AR)"
TULP1	"视网膜色素变性14型(600132,AR);Leber先天性黑矇15型(613843,AR)"
PRPF31	"视网膜色素变性11型(600138,AD)"
HTRA1	"遗传性多发脑梗死性痴呆AR型(600142,AR);老年性黄斑变性7(610149,/);多发脑梗死性痴呆AD2型(616779,AD)"
SPTBN2	"脊髓小脑共济失调5型(600224,AD);脊髓小脑共济失调14型常隐(615386,AR)"
NIPA1	"痉挛性截瘫6型(600363,AD)"
ACVRL1	"遗传性出血性毛细血管扩张症2型(600376,AD)"
CA4	"视网膜色素变性17型(600852,AD)"
CRYBA1	"白内障10型(600881,AD)"
FTL	"高铁蛋白血症-白内障综合征(600886,AD);伴脑内铁沉积神经退行性病变3型(606159,AD)"
PITPNM3	"视杆视锥营养不良5型(600977,AD)"
CDH23	"亚瑟综合征1D型(601067,DR,?AR);亚瑟综合征1D/F型(601067,DR,?AR)"
PCDH15	"亚瑟综合征1D/F型(601067,DR,?AR);亚瑟综合征1F型(602083,AR)"
MAF	"Ayme-Gripp综合征(601088,AD);白内障21型(610202,AD)"
MFN2	"遗传性运动与感觉神经障碍6A型(601152,AD)"
STRA6	"小眼球伴眼组织缺损8型(601186,AR);小眼球综合征9型(601186,AR)"
ATP1A3	"CAPOS综合征(601338,AD)"
PRPF3	"视网膜色素变性18型(601414,AD)"
CHRNA1	"先天性肌无力综合征1A型(601462,AD);先天性肌无力综合征1B型(608930,AD,?AR)"
HYAL1	"粘多糖贮积症9型(601492,AR)"
CRYBB2	"白内障3型(601547,AD)"
ASPH	"Traboulsi综合征(601552,AR)"
LIFR	"Schwartz-Jampel综合征2型(601559,AR)"
CYLD	"多发性家族性毛发上皮瘤1型(601606,AD);Brooke-Spiegler综合征(605041,AD)"
FOXC1	"眼前节发育不全3型(601631,AD);Axenfeld-Rieger综合征3型(602482,AD);Axenfeld-Rieger综合征3型(602482,AD)"
GJA3	"白内障14型(601885,AD)"
KRT85	"外胚层发育不良4型，头发/指甲型(602032,AR)"
INVS	"肾单位肾痨2型(602088,AR)"
GUCA1A	"视杆视锥营养不良14型(602093,AD)"
ST14	"先天性鱼鳞病AR11型(602400,AR)"
无	"外胚层发育不良8型，头发/牙齿/指甲型(602401,AR)"
ETHE1	"乙基丙二酸脑病(602473,AR)"
CNBP	"肌强直性营养不良2型(602668,AD)"
EYS	"视网膜色素变性25型(602772,AR)"
COLQ	"先天性肌无力综合征5型(603034,AR)"
APOE	"老年性黄斑变性1(603075,AD)"
HMCN1	"老年性黄斑变性1(603075,AD)"
CFHR3	"老年性黄斑变性1(603075,AD)"
CFHR1	"老年性黄斑变性1(603075,AD)"
TMEM216	"Meckel综合征2型(603194,AR);Joubert综合征2型(608091,AR)"
STX16	"假性甲状旁腺功能减退症IB型(603233,AD)"
GNAS-AS1	"假性甲状旁腺功能减退症IB型(603233,AD)"
CCM2	"海绵状血管畸形2型(603284,AD)"
PDCD10	"海绵状血管畸形3型(603285,)"
ASB10	"原发性开角型青光眼1F型(603383,AD)"
ATXN10	"脊髓小脑共济失调10型(603516,AD)"
KIAA0196	"痉挛性截瘫8型(603563,AD)"
RIMS1	"视杆视锥营养不良7型(603649,AD)"
PROM1	"Stargardt病4型(603786,AD);视网膜黄斑营养不良2型(608051,AD);视网膜色素变性41型(612095,AR);视杆视锥营养不良12型(612657,AR)"
VEGFA	"糖尿病微血管并发症1型(603933,)"
CTDP1	"先天性白内障-面部畸形-神经病变(604168,AR)"
KIF5A	"痉挛性截瘫10型(604187,AD)"
CRYAA	"9型白内障(604219,AD)"
SPATA7	"Leber先天性黑矇3型(604232,AR)"
CP	"小脑性共济失调(604290,AR)"
CRYGC	"2型白内障(604307,AD)"
WDR62	"原发性小头症2型(604317,AR)"
CASC5	"原发性小头症4型(604321,AR)"
PPP2R2B	"脊髓小脑共济失调12型(604326,AD)"
CHN1	"Duane眼球后退综合征2型(604356,AD)"
SPG11	"痉挛性截瘫11型(604360,AR)"
MRE11A	"共济失调-毛细血管扩张样病症1型(604391,AR)"
AIPL1	"Leber先天性黑矇4型(604393,AR)"
TTBK2	"脊髓小脑共济失调11型(604432,AD)"
PKP1	"外胚层发育不良/皮肤脆弱综合征(604536,)"
LCA5	"Leber先天性黑矇5型(604537,AR)"
CYP4F22	"先天性鱼鳞病AR5型(604777,AR)"
CDK5RAP2	"原发性小头症3型(604804,AR)"
RTN2	"痉挛性截瘫12型(604805,AD)"
CISD2	"Wolfram综合征2型(604928,AR)"
MKKS	"Bardet-Biedl综合征6型(605231,AR)"
KCNC3	"脊髓小脑共济失调13型(605259,AD)"
HSPD1	"痉挛性截瘫13型(605280,AD);低髓鞘化脑白质营养不良4型(612233,AR)"
PRKCG	"脊髓小脑共济失调14型(605361,AD)"
CHMP4B	"31型白内障(605387,AD)"
ADGRV1	"亚瑟综合征2C型(605472,DD,?AR)"
MYH2	"近端肌病伴眼肌麻痹(605637,AR,?AD)"
C1QTNF5	"晚发性视网膜变性(605670,AD)"
NFU1	"多发性线粒体功能障碍综合征1型(605711,AR)"
CHRNE	"先天性肌无力综合征4A型(605809,AD,?AR);先天性肌无力综合征4C型(608931,AR);先天性肌无力综合征4B型(616324,AR)"
SETX	"常隐脊髓小脑共济失调1型(606002,AR)"
FAM161A	"视网膜色素变性28型(606068,AR)"
TRPV4	"遗传性运动与感觉神经病变2C型(606071,AD)"
ALOXE3	"先天性鱼鳞病AR3型(606545,AR)"
SLC45A2	"眼皮肤白化病4型(606574,AR)"
FKRP	"肌-眼-脑病B5型(606612,AR);肌-眼-脑病C5型(607155,AR);肌-眼-脑病A5型(613153,AR)"
ATP13A2	"Kufor-Rakeb综合征(606693,AR);痉挛性截瘫78型(617225,AR)"
DRD5	"良性原发性眼睑痉挛(606798,IC)"
USH1G	"亚瑟综合征1G型(606943,AR)"
NPHP4	"肾单位肾痨4型(606966,AR)"
IDUA	"粘多糖贮积症1H型(607014,AR);粘多糖贮积症1S型(607016,AR)"
NLRP3	"CINCA综合征(607115,AD)"
TBP	"脊髓小脑共济失调17型(607136,AD)"
SCN9A	"婴儿早期癫痫性脑病6型(607208,AD)"
SCN1A	"婴儿早期癫痫性脑病6型(607208,AD)"
TDP1	"脊髓小脑共济失调伴轴索神经病(607250,AR)"
SPG7	"痉挛性截瘫7型(607259,AR,?AD)"
ROBO3	"水平注视性麻痹伴进行性脊柱侧凸1型(607313,AR)"
SALL4	"杜安-桡侧列综合征(607323,AD)"
KCND3	"脊髓小脑共济失调19型(607346,AD)"
TMEM67	"Meckel综合征3型(607361,AR);Joubert综合征6型(610688,AR);肾单位肾痨11型(613550,AR);Bardet-Biedl综合征14型(615991,AR)"
TMEM240	"脊髓小脑共济失调21型(607454,AD)"
VRK1	"脑桥小脑发育不全1A型(607596,AR)"
RAB27A	"Griscelli综合征2型(607624,AR)"
NPC2	"尼曼匹克病C2型(607625,AR)"
POLR3A	"低髓鞘化脑白质营养不良7型(607694,AR)"
SHOC2	"Noonan样综合征伴生长初期毛发松动1型(607721,AD)"
FSCN2	"视网膜色素变性30型(607921,AD)"
BMP4	"综合征性小眼球6型(607932,AD)"
PCLO	"脑桥小脑发育不全3型(608027,AR)"
ROM1	"视网膜色素变性7型(608133,AD,?AR,DD)"
RPGRIP1	"视杆视锥营养不良13型(608194,AR);Leber先天性黑矇6型(613826,AR)"
AP3B1	"Hermansky-Pudlak综合征2型(608233,AR)"
CERKL	"视网膜色素变性26型(608380,AR)"
CENPJ	"小头症6型(608393,AR)"
RGS9	"缓慢光感受器失活(608415,AR)"
RGS9BP	"缓慢光感受器失活(608415,AR)"
NMNAT1	"Leber先天性黑矇9型(608553,AR)"
AHI1	"Joubert综合征3型(608629,AR)"
SLC27A4	"鱼鳞病早产综合征(608649,AR)"
ATIC	"ATIC缺乏症(608688,AR)"
ASPM	"小头症5型(608716,AR)"
无	"脊髓小脑共济失调8型(608768,AD)"
ATXN8OS	"脊髓小脑共济失调8型(608768,AD)"
GJC2	"低髓鞘化脑白质营养不良2型(608804,AR);痉挛性截瘫44型(613206,AR)"
LARGE	"肌-眼-脑病B6型(608840,AR);肌-眼-脑病A6型(613154,AR)"
CTNNA1	"黄斑营养不良图形化2型(608970,AD)"
HADHA	"LCHAD缺乏症(609016,AR)"
SOX10	"PCWH综合征(609136,AD);Waardenburg综合征2E型(611584,AD);Waardenburg综合征4C型(613266,AD)"
ZEB1	"角膜内皮营养不良多形性3型(609141,AD);角膜内皮营养不良Fuchs6型(613270,AD)"
B4GALNT1	"痉挛性截瘫26型(609195,AR)"
SLC38A8	"视网膜凹发育不良2型(609218,AR)"
MLPH	"Griscelli综合征3型(609227,AR)"
IQCB1	"Senior-Loken综合征5型(609254,AR)"
TPP1	"脊髓小脑共济失调常隐7型(609270,AR)"
SLC25A4	"进行性眼外肌麻痹常显2型(609283,AD)"
C10orf2	"进行性眼外肌麻痹常显3型(609286,AD)"
SLC25A22	"婴儿早期癫痫性脑病3型(609304,AR)"
EEF2	"脊髓小脑共济失调26型(609306,AD)"
FGF14	"脊髓小脑共济失调27型(609307,AD)"
DDHD1	"痉挛性截瘫28型(609340,AR)"
无	"进行性核上麻痹2型(609454,AD)"
KIAA1279	"Goldberg-Shprintzen巨结肠综合征(609460,AR)"
KCNH2	"短QT综合征1型(609620,AD)"
KCNQ1	"短QT综合征2型(609621,AD)"
KCNJ2	"短QT综合征3型(609622,AD)"
CRYBB3	"白内障22型(609741,AD,?AR)"
WDR36	"青光眼原发性开角型1G型(609887,/)"
TOPORS	"视网膜色素变性31型(609923,AD)"
FYCO1	"白内障18型(610019,AR)"
PDE6H	"色盲全6型(610024,AR,?AD);视锥细胞营养不良3A型(610024,AD,?AR)"
DCN	"角膜营养不良先天性基质(610048,AD)"
VSX2	"小眼球伴眼组织缺损3型(610092,AR);单纯性小眼球2型(610093,AR)"
OTX2	"综合征性小眼球5型(610125,AD)"
POLG2	"进行性眼外肌麻痹常显4型(610131,AD)"
TGFBR2	"Loeys-Dietz综合征2型(610168,AD)"
CEP290	"Joubert综合征5型(610188,AR);Senior-Loken综合征6型(610189,AR);Meckel综合征4型(611134,AR);Leber先天性黑矇10型(611755,AR);Bardet-Biedl综合征14型(615991,AR)"
DNAJC19	"3-甲基戊烯二酸尿症5型(610198,AR)"
NOTCH2	"Alagille综合征2型(610205,AD)"
ZFYVE27	"痉挛性截瘫33型(610244,AD)"
PDYN	"脊髓小脑共济失调23型(610245,AD)"
AFG3L2	"脊髓小脑共济失调28型(610246,AD);痉挛性共济失调5型(614487,AR)"
REEP1	"痉挛性截瘫31型(610250,AD)"
FOXE3	"眼前节发育不全2型(610256,AR);白内障34型(612968,AR)"
SEMA4A	"视网膜色素变性35型(610282,AD,?AR);视杆视锥营养不良10型(610283,AR)"
KCNV2	"视锥细胞营养不良3B型(610356,AR)"
KIF1A	"痉挛性截瘫30型(610357,AR)"
SNRNP200	"视网膜色素变性33型(610359,AD)"
MVK	"甲羟戊酸尿症(610377,AR)"
RAX2	"视杆视锥营养不良11型(610381,AD);老年性黄斑变性6(613757,/)"
CRYBA4	"白内障23型(610425,AD)"
GNAT1	"先天性静止性夜盲AD3型(610444,AD);先天性静止性夜盲AR1G型(616389,AR)"
FAM126A	"低髓鞘化脑白质营养不良5型(610532,AR)"
GFPT1	"先天性肌无力综合征12型(610542,AR)"
PRCD	"视网膜色素变性36型(610599,AR)"
RD3	"Leber先天性黑矇12型(610612,AR)"
ERCC3	"着色性干皮病B群(610651,AR)"
SOS1	"Noonan综合征4型(610733,AD)"
SYNE1	"脊髓小脑共济失调AR8型(610743,AR)"
SMC3	"德朗热综合征3型(610759,AD)"
RAX	"单纯性小眼球3型(611038,AR)"
MFRP	"单纯性小眼球5型(611040,AR)"
NSUN2	"智力迟钝AR5型(611091,AR)"
ERLIN2	"痉挛性截瘫18型(611225,AR)"
KIF1C	"痉挛性共济失调2型(611302,AR)"
C3	"老年性黄斑变性9(611378,/)"
DFNB31	"亚瑟综合征2D型(611383,AR)"
MARS2	"痉挛性共济失调3型(611390,AR)"
BFSP1	"白内障33型(611391,AD,?AR)"
TLR4	"老年性黄斑变性10(611488,/)"
PLEKHM1	"骨硬化病AR6型(611497,AR)"
GLIS2	"肾单位肾痨7型(611498,AR)"
RARS2	"脑桥小脑发育不全6型(611523,AR)"
MMP19	"空洞性视神经盘异常(611543,AD)"
CRYBB1	"白内障17型(611544,AD,?AR)"
RAF1	"Noonan综合征5型(611553,AD)"
RPGRIP1L	"Joubert综合征7型(611560,AR);Meckel综合征5型(611561,AR)"
BFSP2	"白内障12型(611597,AD)"
SHH	"小眼球伴眼组织缺损5型(611638,AD)"
CST3	"老年性黄斑变性11(611953,/)"
ADCK3	"脊髓小脑共济失调AR9型(612016,AR)"
SLC16A12	"白内障47型(612018,AD)"
HMX1	"眼耳综合征(612109,AR)"
STXBP1	"婴儿早期癫痫性脑病4型(612164,AD)"
CTC1	"伴钙化和囊变的脑视网膜微血管病1型(612199,AR)"
NIPAL4	"先天性鱼鳞病AR6型(612281,AR)"
CC2D2A	"Meckel综合征6型(612284,AR);Joubert综合征9型(612285,AR)"
ARL13B	"Joubert综合征8型(612291,AR)"
TNFRSF11A	"骨硬化病AR7型(612301,AR)"
FA2H	"痉挛性截瘫35型(612319,AR)"
BTNL2	"结节病2型(612387,/)"
TSEN2	"脑桥小脑发育不全2B型(612389,AR)"
TSEN34	"脑桥小脑发育不全2C型(612390,AR)"
TUBB4A	"低髓鞘化脑白质营养不良6型(612438,AD)"
SLC33A1	"痉挛性截瘫42型(612539,AD);先天性白内障、听力丧失和神经变性(614482,AR)"
IDH3B	"视网膜色素变性46型(612572,AR)"
EPO	"糖尿病微血管并发症2型(612623,/)"
ACE	"糖尿病微血管并发症3型(612624,/)"
IL1RN	"糖尿病微血管并发症4型(612628,/)"
PON1	"糖尿病微血管并发症5型(612633,/)"
SOD2	"糖尿病微血管并发症6型(612634,/)"
ABHD12	"多发性神经病、听力减退、共济失调、视网膜色素变性和白内障(612674,AR)"
STIL	"小头症AR7型(612703,AR)"
RDH12	"视网膜色素变性53型(612712,AR)"
ADAM9	"视杆视锥营养不良9型(612775,AR)"
AP4M1	"痉挛性截瘫50型(612936,AR)"
PYCR1	"皮肤松弛症AR2B型(612940,AR);皮肤松弛症AR3B型(614438,AR);皮肤松弛症AR3B型(614438,AR)"
KLHL7	"视网膜色素变性42型(612943,AD)"
SLC25A12	"婴儿早期癫痫性脑病39型(612949,AR)"
TMEM126A	"视神经萎缩7型(612989,AR)"
GFER	"进行性线粒体肌病-先天性白内障-听力损失-发育迟缓(613076,AR)"
PDE6C	"色盲全5型(613093,AR)"
GDF6	"单纯性小眼球4型(613094,AD);小眼球伴眼组织缺损6型(613703,AD);Leber先天性黑矇17型(615360,AR)"
NTF4	"青光眼原发性开角型1O型(613100,AD)"
POMT2	"肌-眼-脑病A2型(613150,AR);肌-眼-脑病B2型(613156,AR);肌-眼-脑病C2型(613158,AR)"
NT5C2	"痉挛性截瘫45型(613162,AR)"
LTBP4	"皮肤松弛症AR1C型(613177,AR)"
TUBA8	"脑皮质发育不良8型(613180,AR)"
ADAMTS17	"Weill-Marchesani样综合征(613195,AR)"
TRPM1	"先天性静止性夜盲AR1C型(613216,AR)"
EDN3	"Waardenburg综合征4B型(613265,AR,?AD)"
TCF4	"角膜内皮营养不良Fuchs3型(613267,AD)"
TSPAN12	"渗出性视网膜病变5型(613310,AD)"
LRAT	"Leber先天性黑矇14型(613341,AR)"
PNKP	"婴儿早期癫痫性脑病10型(613402,AR);共济失调伴眼运动失用症4型(616267,AR)"
GRK1	"小口氏病2型(613411,AR)"
C2orf71	"视网膜色素变性54型(613428,AR)"
TTC8	"视网膜色素变性51型(613464,AR);Bardet-Biedl综合征8型(615985,AR)"
SPTAN1	"婴儿早期癫痫性脑病5型(613477,AD)"
PRSS56	"单纯性小眼球6型(613517,AR)"
CBL	"Noonan综合征样病伴或不伴有青少年粒单核细胞白血病(613563,AD)"
PVRL4	"外胚层发育不良畸形综合征1型(613573,AR)"
IMPG2	"视网膜色素变性56型(613581,AR);黄斑营养不良5型卵黄状(616152,AD)"
PDE6G	"视网膜色素变性57型(613582,AR)"
RP1L1	"黄斑营养不良隐匿性(613587,AD)"
SDCCAG8	"Senior-Loken综合征7型(613615,AR);Bardet-Biedl综合征16型(615993,AR)"
HOGA1	"高草酸尿症3型(613616,AR)"
ZNF513	"视网膜色素变性58型(613617,AR)"
AP5Z1	"痉挛性截瘫48型(613647,AR)"
CDHR1	"视杆视锥营养不良15型(613660,AR)"
MTPAP	"痉挛性共济失调4型(613672,AR)"
EP300	"Rubinstein-Taybi综合征2型(613684,AD)"
GDF3	"小眼球伴眼组织缺损6型(613703,AD);单纯性小眼球7型(613704,AD)"
BRAF	"Noonan综合征7型(613706,AD)"
POLR1D	"Treacher Collins综合征2型(613717,AD)"
KCNQ2	"婴儿早期癫痫性脑病7型(613720,AD)"
SCN2A	"婴儿早期癫痫性脑病11型(613721,AD)"
PLCB1	"婴儿早期癫痫性脑病12型(613722,AR)"
ANO10	"脊髓小脑共济失调AR10型(613728,AR)"
AP4E1	"痉挛性截瘫51型(613744,AR)"
NRL	"视网膜色素变性27型(613750,AD)"
CNGA1	"视网膜色素变性49型(613756,AR)"
CRYAB	"白内障16型(613763,AD,?AR)"
CNGB1	"视网膜色素变性45型(613767,AR)"
RGR	"视网膜色素变性44型(613769,AR)"
ARMS2	"老年性黄斑变性8(613778,/)"
CX3CR1	"老年性黄斑变性12(613784,/)"
PDE6A	"视网膜色素变性43型(613810,AR)"
SEPSECS	"脑桥小脑发育不全2D型(613811,AR)"
DAG1	"肌-眼-脑病C9型(613818,AR);肌-眼-脑病A9型(616538,AR)"
TTC21B	"Joubert综合征11型(613820,AD,?AR)"
GUCA1B	"视网膜色素变性48型(613827,AD)"
SLC24A1	"先天性静止性夜盲AR1D型(613830,AR)"
GNAT2	"色盲全4型(613856,AR)"
DHDDS	"视网膜色素变性59型(613861,AR)"
MERTK	"视网膜色素变性38型(613862,AR)"
TCTN2	"Meckel综合征8型(613885,AR);Joubert综合征24型(616654,AR)"
TDRD7	"白内障36型(613887,AR)"
TGM6	"脊髓小脑共济失调35型(613908,AD)"
LIPN	"先天性鱼鳞病AR8型(613943,AR)"
GRIN2B	"精神发育迟滞AD6型(613970,AD);婴儿早期癫痫性脑病27型(616139,AD)"
PRPF6	"视网膜色素变性60型(613983,AD)"
NHP2	"先天性角化不良症AR2型(613987,AR)"
WRAP53	"先天性角化不良症AR3型(613988,AR)"
TERT	"先天性角化不良症AD2型(613989,AD);先天性角化不良症AR4型(613989,AR)"
TECR	"精神发育迟滞AR14型(614020,AR)"
AP4B1	"痉挛性截瘫47型(614066,AR)"
AP4S1	"痉挛性截瘫52型(614067,AR)"
HPS3	"Hermansky-Pudlak综合征3型(614072,AR)"
HPS4	"Hermansky-Pudlak综合征4型(614073,AR)"
HPS5	"Hermansky-Pudlak综合征5型(614074,AR)"
HPS6	"Hermansky-Pudlak综合征6型(614075,AR)"
DTNBP1	"Hermansky-Pudlak综合征7型(614076,AR)"
BLOC1S3	"Hermansky-Pudlak综合征8型(614077,AR)"
COL9A1	"Stickler综合征4型(614134,AR)"
NOP56	"脊髓小脑共济失调36型(614153,AD)"
ZNF644	"近视21型(614167,AD)"
PRDM5	"角膜脆弱综合征2型(614170,AR)"
BLOC1S6	"Hermansky-Pudlak综合征9型(614171,AR)"
TCTN1	"Joubert综合征13型(614173,AR)"
B9D2	"Meckel综合征10型(614175,AR)"
MAK	"视网膜色素变性62型(614181,AR)"
SCN4A	"先天性肌无力综合征16型(614198,AR)"
MAN1B1	"精神发育迟滞AR15型(614202,AR)"
B9D1	"Meckel综合征9型(614209,AR);Joubert综合征27型(617120,AR)"
RAB18	"Warburg?micro综合征3型(614222,AR)"
IGFBP7	"视网膜大动脉瘤伴肺动脉瓣上狭窄(614224,AR)"
SYT14	"脊髓小脑共济失调AR11型(614229,AR)"
MED23	"精神发育迟滞AR18型(614249,AR)"
GRIN1	"精神发育迟滞AD8型(614254,AD)"
COL9A2	"Stickler综合征5型(614284,AR)"
C19orf12	"伴脑内铁沉积神经退行性病变4型(614298,AR);痉挛性截瘫43型(615043,AR)"
BOLA3	"多发性线粒体功能障碍综合征2型(614299,AR)"
MIR184	"EDICT综合征(614303,AD)"
WWOX	"脊髓小脑共济失调AR12型(614322,AR);婴儿早期癫痫性脑病28型(616211,AR)"
WDR19	"肾单位肾痨13型(614377,AR);Senior-Loken综合征8型(616307,AR)"
POLR3B	"低髓鞘化脑白质营养不良8型(614381,AR)"
VAX1	"综合征性小眼球11型(614402,AR)"
GBA2	"痉挛性截瘫46型(614409,AR)"
TMEM237	"Joubert综合征14型(614424,AR)"
EFEMP2	"皮肤松弛症AR1B型(614437,AR)"
CEP41	"Joubert综合征15型(614464,AR)"
TMEM138	"Joubert综合征16型(614465,AR)"
ABCB6	"小眼球伴眼组织缺损7型(614497,AD)"
C8orf37	"视网膜色素变性64型(614500,AR);Bardet-Biedl综合征21型(617406,AR)"
HARS	"亚瑟综合征3B型(614504,AR)"
SCN8A	"婴儿早期癫痫性脑病13型(614558,AD)"
ACO2	"小儿小脑-视网膜变性(614559,AR);视神经萎缩9型(616289,AR)"
GPR179	"先天性静止性夜盲AR1E型(614565,AR)"
ISPD	"肌-眼-脑病A7型(614643,AR);肌-眼-脑病C7型(616052,AR)"
CEP135	"小头症8型(614673,AR)"
EXOSC3	"脑桥小脑发育不全1B型(614678,AR)"
AGK	"白内障38型(614691,AR)"
RAD21	"德朗热综合征4型(614701,AD)"
SERAC1	"3-甲基戊烯二酸尿症6型(614739,AR)"
DPAGT1	"先天性肌无力综合征13型(614750,AR)"
NFIX	"Sotos综合征2型(614753,AD)"
NBAS	"身材矮小-视神经萎缩伴Pelger Huet异常(614800,AR)"
POMGNT2	"肌-眼-脑病A8型(614830,AR)"
GRM1	"脊髓小脑共济失调AR13型(614831,AR)"
ZNF423	"Joubert综合征19型(614844,AD,?AR)"
CEP164	"肾单位肾痨15型(614845,AR)"
CEP152	"小头症9型(614852,AR)"
PEX6	"过氧化物酶体生物合成障碍4A(614862,AR);过氧化物酶体生物合成障碍4B(614863,AR)"
