Annova	Phenotype
COL4A1	"遗传血管病伴肾病，动脉瘤，肌肉痉挛综合征(611773,AD);脑小血管病伴或不伴视觉异常(607595,AD);脑穿通畸形1型(175780,AD);视网膜动脉迂曲(180000,AD)"
COL4A2	"脑穿通畸形2型(614483,AD)"
COL4A3BP	"常染色体显性精神发育迟滞34型(616351,AD)"
COL5A1	"埃莱尔-当洛综合征1型(130000,AD)"
COL5A2	"埃莱尔-当洛综合征1型(130000,AD)"
COL6A1	"Bethlem 肌病1型(158810,AD,AR);乌尔里希先天性肌营养不良(254090,AD,AR)"
COL6A2	"Bethlem 肌病1型(158810,AD,AR);肌硬化症(255600,AR);乌尔里希先天性肌营养不良(254090,AD,AR)"
COL6A3	"Bethlem 肌病1型(158810,AD,AR);肌张力障碍27型(616411,AR);乌尔里希先天性肌营养不良(254090,AD,AR)"
COLEC10	"3MC综合征3型(248340,AR)"
COLEC11	"3MC综合征2型(265050,AR)"
COLQ	"先天性肌无力综合征5型(603034,AR)"
COMP	"假性软骨发育不全(177170,AD)"
COQ2	"原发性辅酶Q10缺乏1型(607426,AR)"
COQ4	"原发性辅酶Q10缺乏7型(616276,AR)"
COQ6	"原发性辅酶Q10缺乏6型(614650,AR)"
COQ7	"原发性辅酶Q10缺乏8型(616733,AR)"
COQ9	"原发性辅酶Q10缺乏5型(614654,AR)"
CORO1A	"免疫缺陷病8型(615401,AR)"
COX10	"Leigh综合征(256000,AR,Mi);线粒体复合物IV缺陷症(220110,AR,Mi)"
COX14	"线粒体复合物IV缺陷症(220110,AR,Mi)"
COX15	"致死性婴幼儿细胞色素c氧化酶缺乏性心脑肌病2型(615119,AR);Leigh综合征(256000,AR,Mi)"
COX20	"线粒体复合物IV缺陷症(220110,AR,Mi)"
COX4I2	"Shwachman-Diamond综合征(612714,AR)"
COX6A1	"腓骨肌萎缩症隐性中间D型(616039,AR)"
COX6B1	"线粒体复合物IV缺陷症(220110,AR,Mi)"
COX7B	"先天性网状线样皮肤发育不全伴小头畸形，面部畸形和其他先天畸形(300887,XLD)"
COX8A	"线粒体复合物IV缺陷症(220110,AR,Mi)"
CP	"遗传性铜蓝蛋白缺乏症(604290,AR)"
CPA6	"家族性颞叶癫痫5型(614417,AD,AR);家族性热性惊厥1型(614418,AR)"
CPOX	"遗传性粪卟啉症(121300,AD)"
CPS1	"氨甲酰磷酸合成酶I缺乏症-高血氨症(237300,AR)"
CPT1A	"肉毒碱棕榈酰基转移酶I缺乏症(255120,AR)"
CPT1C	"痉挛性截瘫73型(616282,AD)"
CPT2	"压力诱导的CPT II缺乏性肌病(255110,AD,?AR);肉毒碱棕榈酰基转移酶II缺乏症（婴儿型）(600649,AR);肉毒碱棕榈酰基转移酶II缺乏症（新生儿致死型）(608836,AR);感染诱发的急性脑病4型（易感）(614212,AD,?AR)"
CRADD	"常染色体隐性精神发育迟滞34型(614499,AR)"
CRB2	"巨脑室伴囊性肾病(219730,AR)"
CRBN	"常染色体隐性精神发育迟滞2型(607417,AR)"
CREBBP	"Rubinstein-Taybi综合征1型(180849,AD)"
CRLF1	"低温诱导出汗综合征1型(272430,AR)"
CRYAB	"扩张型心肌病1II型(615184,AD);肌原纤维肌病2型(608810,AD);α型B crystallin相关致命性婴儿型肥大肌病(613869,AR)"
CSF1R	"伴有球状体的散发性脑白质病(221820,AD)"
CSPP1	"Joubert综合征21型(615636,AR)"
CSRP3	"扩张型心肌病1M型(607482,AD);肥厚型心肌病12型(612124,AD)"
CST3	"脑淀粉样血管病, CST3相关(105150,AD)"
CSTB	"进行性肌阵挛癫痫1A型(254800,AR)"
CTC1	"伴钙化与囊变的脑视网膜微血管病1型(612199,AR)"
CTCF	"常染色体显性精神发育迟滞21型(615502,AD)"
CTDP1	"先天性白内障，面部畸形和神经病(604168,AR)"
CTH	"胱硫醚尿症(219500,AR)"
CTNNB1	"成神经管细胞瘤(155255,AD,AR);常染色体显性精神发育迟滞19型(615075,AD)"
CTNS	"肾病型胱氨酸病(219800,AR)"
CTSA	"半乳糖唾液酸贮积症(256540,AR)"
CTSC	"掌跖角化-牙周病综合征(245000,AR)"
CTSD	"神经元蜡样质脂褐素沉积病10型(610127,AR)"
CTSF	"神经元蜡样质脂褐素沉积病13型(615362,AR)"
CUBN	"巨幼细胞性贫血1型(261100,AR)"
CUL4B	"矮小身材，性腺发育低下，异常步态X连锁精神发育迟滞(300354,XLR)"
CWF19L1	"常染色体隐性遗传性脊髓小脑性共济失调17型(616127,AR)"
CYB5R3	"高铁血红蛋白还原酶缺乏所致高铁蛋白血症(250800,AR)"
CYC1	"线粒体复合物Ⅲ缺陷症N6型(615453,AR)"
CYP24A1	"婴儿高钙血症(143880,AR)"
CYP27A1	"脑腱黄瘤病(213700,AR)"
CYP2R1	"羟基化维生素D缺乏性佝偻病1A型(600081,AR)"
CYP2U1	"痉挛性截瘫56型(615030,AR)"
CYP7B1	"痉挛性截瘫5A型(270800,AR)"
D2HGDH	"D-2-羟基戊二酸尿症1型(600721,AR)"
DAB1	"脊髓小脑性共济失调37型(615945,AD)"
DAG1	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A9型(616538,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C9型(613818,AR)"
DARS	"脑干和脊髓受累神经髓鞘形成不良伴腿部痉挛(615281,AR)"
DARS2	"包括脑干和脊髓受累的脑白质病合并乳酸增高(611105,AR)"
DBH	"多巴胺β-羟化酶缺乏症(223360,AR)"
DBT	"枫糖尿病(248600,AR)"
DCAF17	"Woodhouse-Sakati综合征(241080,AR)"
DCAF8	"巨轴索神经病2型(610100,AD)"
DCC	"镜像运动1型(157600,AD)"
DCHS1	"van Maldergem综合征1型(601390,AR)"
DCTN1	"肌萎缩侧索硬化症1型(105400,AD,AR);远端型遗传性运动性神经元病7B型(607641,AD);Perry综合征(168605,AD)"
DCX	"X连锁无脑回畸形1型(300067,XL)"
DDB2	"着色性干皮病E型(278740,AR)"
DDC	"芳香族L-氨基酸脱羧酶缺乏症(608643,AR)"
DDHD1	"痉挛性截瘫28型(609340,AR)"
DDHD2	"痉挛性截瘫54型(615033,AR)"
DDOST	"先天性糖基化障碍1R型(614507,AR)"
DDR2	"短肢-手型脊椎干骺端发育不良(271665,AR)"
DDX11	"华沙染色体断裂综合征(613398,AR)"
DDX3X	"X连锁智力低下综合征102型(300958,XLR,?XLD)"
EIF4A3	"伴下颌裂和肢体畸形的罗宾序列(268305,AR)"
DDX59	"口-面-指综合征5型(174300,AR)"
DEAF1	"运动障碍，癫痫发作和智力发育障碍(617171,AR);常染色体显性精神发育迟滞24型(615828,AD)"
DENND5A	"早期幼儿癫痫性脑病49型(617281,AR)"
DEPDC5	"家族性局灶多灶性癫痫1型(604364,AD)"
DES	"扩张型心肌病1I型(604765,AD);肢带型肌营养不良2R(615325,AR);肌原纤维肌病1型(601419,AD,AR);Kaeser型神经源性肩腓综合征(181400,AD)"
DGUOK	"线粒体DNA消耗综合征3型(251880,AR);常染色体隐性进行性眼外肌麻痹伴线粒体DNA缺失4型(617070,AR)"
DHCR24	"链甾醇症(602398,AR)"
DHCR7	"史李欧综合征(270400,AR)"
DHFR	"二氢叶酸还原酶缺乏所致巨幼细胞性贫血症(613839,AR)"
DHTKD1	"2-氨基脂肪 2-氧代己二酸尿症(204750,AR);轴突性腓骨肌萎缩症2Q型(615025,AD)"
DIAPH1	"癫痫，视神经性失明并小头畸形(616632,AR)"
DIS3L2	"Perlman综合征(267000,AR)"
PARK7	"遗传性帕金森病7型(606324,AR)"
DKC1	"X连锁先天性角化不良(305000,XLR)"
DLAT	"丙酮酸脱氢酶复合体缺乏症DD型(245348,AR)"
DLD	"二氢硫辛酰胺脱氢酶缺乏症(246900,AR)"
DLG3	"X连锁智力低下90型(300850,XLR)"
DMD	"贝克型肌营养不良(300376,XLR);扩张型心肌病3B型(302045,XL);杜氏肌营养不良(310200,XLR)"
DMPK	"强直性肌营养不良1型(160900,AD)"
DMXL2	"多内分泌腺瘤-多发性神经病综合征(616113,AR)"
DNA2	"常染色体显性进行性眼外肌麻痹6型(615156,AD);Seckel综合征8型(615807,AR)"
DNAI1	"原发性纤毛运动障碍(244400,AR)"
DNAJB2	"遗传性远端脊肌萎缩症5型(614881,AR)"
DNAJB6	"肢带型肌营养不良1E型(603511,AD)"
DNAJC19	"3-甲基戊烯二酸尿症V型(610198,AR)"
DNAJC3	"小脑和周围性共济失调伴听力丧失和糖尿病(616192,AR)"
DNAJC5	"神经元蜡样质脂褐素沉积病4B型(162350,AD)"
DNAJC6	"遗传性帕金森病19型(615528,AR)"
DNM1	"早期幼儿癫痫性脑病31型(616346,AD)"
DNM1L	"线粒体缺陷和过氧化物酶体裂变引起的致死性脑病(614388,AD,AR)"
DNM2	"腓骨肌萎缩症显性中间B型(606482,AD);致死性先天挛缩综合征5型(615368,AR);中央核肌病1型(160150,AD)"
DNMT1	"常染色体显性遗传性小脑共济失调，耳聋和发作性睡病(604121,AD);遗传性感觉和自主神经性神经病1E型(614116,AD)"
DNMT3A	"Tatton-Brown-Rahman综合征(615879,AD)"
DNMT3B	"免疫缺陷-着丝点不稳定-面部异常综合征1型(242860,AR)"
DOCK6	"Adams-Oliver 综合征2型(614219,AR)"
DOCK7	"早期幼儿癫痫性脑病23型(615859,AR)"
DOCK8	"高IgE综合征伴复发性感染-一种常染色体隐性遗传多系统疾病(243700,AR)"
DOK7	"胎儿运动功能丧失变型序列(208150,AR);先天性肌无力综合征10型(254300,AR)"
DOLK	"先天性糖基化障碍1M型(610768,AR)"
DPAGT1	"先天性糖基化障碍1J型(608093,AR);先天性肌无力综合征13型(614750,AR)"
DPH1	"发育迟滞伴身材矮小，容貌异常和头发稀疏(616901,AR)"
DPM1	"先天性糖基化障碍1E型(608799,AR)"
DPM2	"先天性糖基化障碍1U型(615042,AR)"
DPM3	"先天性糖基化障碍1O型(612937,AR)"
DPP6	"常染色体显性精神发育迟滞33型(616311,AD)"
DPYD	"二氢嘧啶脱氢酶缺乏症(274270,AR)"
DPYS	"二氢嘧啶酶缺乏症(222748,AR)"
DSE	"埃莱尔-当洛综合征伴肌肉挛缩II型(615539,AR)"
DSG2	"扩张型心肌病1BB型(612877,AR)"
DST	"遗传性感觉和自主神经性神经病6型(614653,AR)"
DSTYK	"痉挛性截瘫23型(270750,AR)"
DUOXA2	"甲状腺内分泌障碍5型(274900,AR)"
DYM	"Dyggve-Melchior-Clausen病(223800,AR);Smith-Mccort发育不良1型(607326,AR)"
DYNC1H1	"轴突性腓骨肌萎缩症2O型(614228,AD);常染色体显性精神发育迟滞13型(614563,AD);脊髓肌萎缩症LED1型(158600,AD)"
DYNC2H1	"伴或不伴多趾，短肋，胸廓发育不良3型(613091,AR,DR)"
DYRK1A	"常染色体显性精神发育迟滞7型(614104,AD)"
DYSF	"Miyoshi肌营养不良 1型(254130,AR);肢带型肌营养不良2B型(253601,AR);远端型肌病胫骨前肌起病(606768,AR)"
TOR1A	"肌张力障碍1型(128100,AD)"
EARS2	"氧化磷酸化结合障碍性疾病12型(614924,AR)"
EBP	"X连锁显性遗传点状软骨发育异常2型(302960,XLD);MEND综合征(300960,XLR)"
ECEL1	"远端关节挛缩症5D型(615065,AR)"
ECHS1	"线粒体短链烯酰辅酶A水合酶1缺乏症(616277,AR)"
ECM1	"类脂蛋白沉积症——Urbach-Wiethe病(247100,AR)"
EDC3	"常染色体隐性精神发育迟滞50型(616460,AR)"
EDN3	"先天性中枢性低通气综合征(209880,AD)"
EEF1A2	"早期幼儿癫痫性脑病33型(616409,AD);常染色体显性精神发育迟滞38型(616393,AD)"
EEF2	"脊髓小脑性共济失调26型(609306,AD)"
EFEMP2	"常染色体隐性皮肤松弛症I B型(614437,AR)"
EFHC1	"青少年失神性癫痫1型(607631,AD);青少年肌阵挛性癫痫(254770,AD)"
EFNB1	"颅额鼻综合征(304110,XLD)"
EFTUD2	"下颌骨颜面发育不全合并小头畸形(610536,AD)"
EGR2	"腓骨肌萎缩症1D型(607678,AD);Dejerine-Sottas综合征(145900,AD,AR);先天性低髓鞘或无髓鞘神经病(605253,AD,AR)"
EHMT1	"Kleefstra综合征(610253,AD)"
EIF2AK3	"Wolcott-Rallison综合征(226980,AR)"
EIF2B1	"白质消融性脑病(603896,AR)"
EIF2B2	"白质消融性脑病(603896,AR)"
EIF2B3	"白质消融性脑病(603896,AR)"
EIF2B4	"白质消融性脑病(603896,AR)"
EIF2B5	"白质消融性脑病(603896,AR)"
EIF4G1	"遗传性帕金森病18型(614251,AD)"
ELAC2	"氧化磷酸化结合障碍性疾病17型(615440,AR)"
ELOVL4	"鱼鱗病痉挛性瘫痪智力障碍综合征(614457,AR);脊髓小脑性共济失调34型(133190,AD)"
ELOVL5	"脊髓小脑性共济失调38型(615957,AD)"
ELP2	"常染色体隐性精神发育迟滞58型(617270,AR)"
EMD	"Emery-Dreifuss肌营养不良1型(310300,XLR)"
EMG1	"Bowen-Conradi综合征(211180,AR)"
EML1	"带状灰质异位症(600348,AR)"
ENG	"遗传性出血性毛细血管扩张症1型(187300,AD)"
ENO3	"糖原贮积病13型(612932,AR)"
ENTPD1	"痉挛性截瘫64型(615683,AR)"
EP300	"Rubinstein-Taybi综合征2型(613684,AD)"
EPB41L1	"常染色体显性精神发育迟滞11型(614257,AD)"
EPG5	"免疫缺乏伴唇腭裂，白内障，色素减退和胼胝体缺乏综合征(242840,AR)"
EPM2A	"进行性肌阵挛癫痫2A型(254780,AR)"
EPOR	"家族性红细胞增多症1型(133100,AD)"
ERBB2	"神经胶质瘤易感性1型(137800,AD,SMu)"
ERBB3	"致死性先天挛缩综合征2型(607598,AR)"
ERBB4	"肌萎缩侧索硬化症19型(615515,AD)"
ERCC1	"脑-眼-面-骨骼综合征4型(610758,AR)"
ERCC2	"脑-眼-面-骨骼综合征2型(610756,AR);光过敏性毛发硫营养不良(601675,AR);着色性干皮病D型(278730,AR)"
ERCC3	"着色性干皮病B型(610651,AR)"
ERCC4	"着色性干皮病F型(278760,AR)"
ERCC5	"脑-眼-面-骨骼综合征3型(616570,AR);着色性干皮病G型(278780,AR)"
ERCC6	"脑-眼-面-骨骼综合征1型(214150,AR);Cockayne综合征A型(133540,AR);着色性干皮病痴呆综合征(278800,AR)"
ERCC6L2	"骨髓衰竭综合征2型(615715,AR)"
ERCC8	"Cockayne综合征B型(216400,AR)"
ERF	"狭颅症4型(600775,AD)"
ERLIN1	"痉挛性截瘫62型(615681,AR)"
ERLIN2	"痉挛性截瘫18型(611225,AR)"
ERMARD	"脑室周围结节性异位6型(615544,AD)"
ESCO2	"罗伯茨综合征(268300,AR);SC短肢畸形综合征(269000,AR)"
ETFA	"多种乙酰辅酶A脱氢酶缺乏症(231680,AR)"
ETFB	"多种乙酰辅酶A脱氢酶缺乏症(231680,AR)"
ETFDH	"多种乙酰辅酶A脱氢酶缺乏症(231680,AR)"
ETHE1	"乙基丙二酸脑病(602473,AR)"
EVC	"埃利伟综合征(225500,AR)"
EVC2	"埃利伟综合征(225500,AR)"
EWSR1	"尤文肉瘤(612219,AD)"
EXOSC3	"脑桥，小脑发育不良1B型(614678,AR)"
EXOSC8	"脑桥，小脑发育不良1C型(616081,AR)"
EXT1	"多发性外生性骨软骨瘤I型(133700,AD)"
EXT2	"多发性外生性骨软骨瘤II型(133701,AD);癫痫，脊柱侧凸和巨头综合症(616682,AR)"
EYA1	"耳-面-长颈综合征1型(166780,AD)"
EYA4	"扩张型心肌病1J型(605362,AD)"
EZH2	"韦弗综合征(277590,AD)"
F10	"凝血因子X缺乏症(227600,AR)"
F13A1	"凝血酶缺乏所致易栓症(188050,AD)"
F2	"先天性凝血酶原缺乏症(613679,AR);凝血酶缺乏所致易栓症(188050,AD)"
F7	"凝血因子Ⅶ缺乏症(227500,AR)"
FA2H	"痉挛性截瘫35型(612319,AR)"
FADD	"反复发作的感染性脑病肝功能异常及心血管畸形综合征(613759,AR)"
FAH	"酪氨酸血症1型(276700,AR)"
FAM111A	"竹叶骨发育不良(602361,AD);肯-卡二氏综合征2型(127000,AD)"
FAM126A	"髓鞘形成不足性脑白质营养不良5型(610532,AR)"
FAM134B	"遗传性感觉和自主神经性神经病2B型(613115,AR)"
FAM20C	"雷恩综合征(259775,AR)"
FANCA	"范科尼贫血，互补群A(227650,AR)"
FANCC	"范科尼贫血，互补群C(227645,AR)"
FANCD2	"范科尼贫血，互补群D2(227646,AR)"
FANCE	"范科尼贫血，互补群E(600901,AR)"
FAR1	"过氧化物脂肪酰基辅酶A还原酶1紊乱(616154,AR)"
FARS2	"氧化磷酸化结合障碍性疾病14型(614946,AR);痉挛性截瘫77型(617046,AR)"
FASTKD2	"线粒体复合物IV缺陷症(220110,AR,Mi)"
FAT4	"Hennekam淋巴管扩张，淋巴水肿综合征2型(616006,AR);van Maldergem综合征2型(615546,AR)"
FBLN5	"遗传性神经病变伴或不伴年龄相关的老年性黄斑变性(608895,AD)"
FBN1	"皮肤僵硬综合征(184900,AD);Weill-Marchesani综合征2型(608328,AD)"
FBN2	"远端关节挛缩症9型(121050,AD)"
FBP1	"果糖二磷酸酶缺乏症(229700,AR)"
FBXL4	"线粒体DNA消耗综合征13型(615471,AR)"
FBXO31	"常染色体隐性精神发育迟滞45型(615979,AR)"
FBXO38	"远端型遗传性运动性神经元病2D型(615575,AD)"
FBXO7	"遗传性帕金森病15型(260300,AR)"
FGA	"家族性内脏淀粉样变性(105200,AD)"
FGD1	"Aarskog-Scott 综合征(305400,XLR)"
FGD4	"腓骨肌萎缩症4H型(609311,AR)"
FGF12	"早期幼儿癫痫性脑病47型(617166,AD)"
FGF14	"脊髓小脑性共济失调27型(609307,AD)"
FGFR1	"哈兹菲尔德综合征(615465,AD);促性腺激素减低性性腺功能减退症2型伴或不伴嗅觉丧失症(147950,AD);干骺端发育不全(166250,AD);菲佛综合征(101600,AD);三角头畸形(190440,AD)"
FGFR2	"Antley-Bixler综合征2型(207410,AR);阿佩尔综合征(101200,AD);Beare-Stevenson综合征(123790,AD);克鲁宗综合征(123500,AD);菲佛综合征(101600,AD)"
FGFR3	"软骨发育不全(100800,AD);屈曲指，身材高大和耳聋综合征(610474,AD,AR);Muenke综合征(602849,AD);致死性骨发育不良1型(187600,AD)"
FH	"延胡索酸酶缺乏症(606812,AR)"
FHL1	"Emery-Dreifuss肌营养不良6型(300696,XLR);X-连锁还原体肌病1A型(300717,XLD);X-连锁还原体肌病1B型(300718,XL);X连锁显性遗传性肩腓型肌病(300695,XLD)"
FIG4	"肌萎缩侧索硬化症11型(612577,AD);腓骨肌萎缩症4J型(611228,AR);双侧颞枕多小脑回畸形(612691,AR);Yunis-Varon综合征(216340,AR)"
FKBP10	"Bruck综合征1型(259450,AR)"
FKBP14	"埃莱尔-当洛综合征伴脊柱后侧弯，肌病，听力损失(614557,AR)"
FKRP	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A5型(613153,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常B5型(606612,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C5型(607155,AR)"
FKTN	"扩张型心肌病1X型(611615,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A4型(253800,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常B4型(613152,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C4型(611588,AR)"
FLNA	"额骨干骺端结构不良(305620,XLR);脑室旁结节状灰质异位(300049,XLD);X连锁慢性特发性神经性肠道假性梗阻(300048,XLR);耳-腭-指综合征(309350,XLD);耳-腭-指（趾）综合征1型(311300,XLD);耳-腭-指（趾）综合征2型(304120,XLD)"
FLNB	"骨发育不全症3型(108721,AD);骨发育不全症1型(108720,AD);Larsen综合征(150250,AD)"
FLNC	"家族性肥厚型心肌病26型(617047,AD);远端型肌病4型(614065,AD);肌原纤维肌病5型(609524,AD)"
FLVCR1	"后索共济失调伴视网膜色素变性(609033,AR)"
FLVCR2	"增殖性血管病-积水性无脑畸形综合征(225790,AR)"
FMN2	"常染色体隐性精神发育迟滞47型(616193,AR)"
FMO3	"三甲基胺尿症(602079,AR)"
FMR1	"脆性X染色体精神发育迟滞综合征(300624,XLD);脆性X染色体相关震颤和（或）共济失调综合征(300623,XLD)"
FOLR1	"叶酸运输障碍导致的神经退行性疾病(613068,AR)"
FOXC1	"虹膜前房角发育不全1型(601631,AD);阿克森费尔德-里格尔综合征3型(602482,AD)"
FOXG1	"先天变异型雷特综合征(613454,AD)"
FOXO1	"横纹肌肉瘤2型(268220,AR)"
FOXP1	"精神发育迟滞，语言障碍，自闭症倾向(613670,AD)"
FOXP2	"言语障碍1型(602081,AD)"
FOXRED1	"Leigh综合征(256000,AR,Mi);线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
FRAS1	"Fraser综合征(219000,AR)"
FREM2	"Fraser综合征(219000,AR)"
FRMD4A	"胼胝体发育不全伴有面部异常和小脑共济失调(616819,AR)"
FRMPD4	"X 连锁精神发育迟滞104型(300983,XLR)"
FRRS1L	"早期幼儿癫痫性脑病37型(616981,AR)"
FTCD	"亚胺甲基转移酶缺乏症(229100,AR)"
FTL	"L型铁蛋白缺陷(615604,AD,AR);脑组织铁沉积性神经变性病3型(606159,AD)"
FTO	"生长迟滞，发育迟缓，面容粗糙及早亡综合征(612938,AR)"
FTSJ1	"X 连锁精神发育迟滞9型(309549,XLR)"
FUCA1	"岩藻糖苷沉积症(230000,AR)"
FUS	"肌萎缩侧索硬化症6型(608030,AD,AR);特发性震颤(614782,AD)"
FXN	"弗里德赖希共济失调(229300,AR)"
FXYD2	"低镁血症2型(154020,AD)"
G6PC	"糖原贮积病1A型(232200,AR)"
G6PC3	"严重先天性中性粒细胞减少症4型(612541,AR)"
GAA	"糖原贮积症2型(232300,AR)"
GABRA1	"特发性全面性癫痫13型(611136,AD);早期幼儿癫痫性脑病19型(615744,AD)"
GABRB1	"早期幼儿癫痫性脑病45型(617153,AD)"
GABRB3	"儿童失神癫痫5型(612269,AD);早期幼儿癫痫性脑病43型(617113,AD)"
GABRD	"特发性全面性癫痫10型(613060,AD)"
GABRG2	"全面性癫痫伴热性惊厥附加症3型(611277,AD);儿童失神癫痫2型(607681,AD)"
GAD1	"脑瘫治痉挛型四肢瘫(603513,AR)"
GAL	"家族性颞叶癫痫8型(616461,AD)"
GALC	"克拉伯病(245200,AR)"
GALE	"半乳糖表异构酶缺乏症(230350,AR)"
GALK1	"半乳糖苷酶缺乏症(230200,AR)"
GALNS	"黏多糖贮积症Ⅳa型(253000,AR)"
GALT	"半乳糖血症(230400,AR)"
GAMT	"大脑肌酸缺乏综合征2型(612736,AR)"
GAN	"巨轴索神经病1型(256850,AR)"
GARS	"腓骨肌萎缩症2D型(601472,AD);远端型遗传性运动性神经元病5A型(600794,AD)"
GATA6	"胰腺发育不全和先天性心脏病(600001,AD)"
GATAD1	"扩张型心肌病2B型(614672,AR)"
GATAD2B	"常染色体显性精神发育迟滞18型(615074,AD)"
GATM	"大脑肌酸缺乏综合征3型(612718,AR)"
GBA	"戈谢病围生期致死型(608013,AR);戈谢病1型(230800,AR);戈谢病Ⅱ型(230900,AR);戈谢病Ⅲ型(231000,AR);戈谢病ⅢC型(231005,AR);路易体痴呆(127750,AD)"
GBA2	"痉挛性截瘫46型(614409,AR)"
GBE1	"糖原贮积症4型(232500,AR);成人葡聚糖体神经病变(263570,AR)"
GCDH	"戊二酸血症1型(231670,AR)"
GCH1	"多巴胺反应性肌张力障碍(128230,AD,AR);四氢生物蝶呤反应性高苯丙氨酸血症B型(233910,AR)"
GCK	"新生儿永久性糖尿病(606176,AD);家族性高胰岛素性低血糖症3型(602485,AD)"
GCLC	"γ-谷氨酰半胱氨酸合成酶缺乏症(230450,AR)"
GCM2	"家族性孤立性甲状旁腺功能减退(146200,AD)"
GDAP1	"轴突性腓骨肌萎缩症伴声带轻度麻痹(607706,AR);轴突性腓骨肌萎缩症2K型(607831,AD,AR);腓骨肌萎缩症隐性中间A型(608340,AR);腓骨肌萎缩症4A型(214400,AR)"
GDF2	"遗传性出血性毛细血管扩张5型(615506,AD)"
GDF5	"Grebe型软骨发育异常(200700,AR)"
MSTN	"肌肉肥大(614160,AR)"
GDI1	"X 连锁精神发育迟滞41型(300849,XLD)"
GDNF	"先天性中枢性低通气综合征(209880,AD)"
GFAP	"亚历山大病(203450,AD)"
GFER	"线粒体进行性肌病伴先天性白内障，听力丧失和发育迟缓(613076,AR)"
GFM1	"氧化磷酸化结合障碍性疾病1型(609060,AR)"
GFPT1	"先天性肌无力综合征12型(610542,AR)"
GIF	"内因子缺乏(261000,AR)"
GIGYF2	"遗传性帕金森病11型(607688,AD)"
GJA1	"常染色体隐性颅骨干骺端发育不良(218400,AR);眼-齿-指综合征(164200,AD)"
GJB1	"X连锁显性腓骨肌萎缩症1型(302800,XLD)"
GJC2	"髓鞘形成不足性脑白质营养不良2型(608804,AR);痉挛性截瘫44型(613206,AR)"
GK	"甘油激酶缺乏症(307030,XLR)"
GLA	"法布里病(301500,XL)"
GLB1	"GM1-神经节苷脂沉积症1型(230500,AR);GM1-神经节苷脂沉积症2型(230600,AR);GM1-神经节苷脂沉积症3型(230650,AR);黏多糖贮积症Ⅳb型(253010,AR)"
GLDN	"致死性先天挛缩综合征11型(617194,AR)"
GLE1	"致死性先天挛缩综合征1型(253310,AR)"
GLI2	"全前脑9型(610829,AD)"
GLI3	"格雷格颅脑畸形多指合指综合征(175700,AD);霍-帕综合征(146510,AD)"
GLMN	"血管球静脉畸形(138000,AD)"
GLRA1	"过度惊骇症1型(149400,AD,AR)"
GLRB	"前脑无裂畸形2型(614619,AR)"
GLRX5	"儿童型痉挛伴高甘氨酸血症(616859,AR)"
GLUD1	"家族性高胰岛素性低血糖症6型(606762,AD)"
GLUL	"先天性谷氨酰胺缺乏症(610015,AR)"
GLYCTK	"D-甘油酸尿症(220120,AR)"
GM2A	"GM2-神经节苷脂沉积症AB型(272750,AR)"
GMNN	"Meier-Gorlin综合征6型(616835,AD)"
GMPPA	"无泪，贲门失迟缓症，智力发育迟滞综合征(615510,AR)"
GMPPB	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A14型(615350,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常B14型(615351,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C14型(615352,AR)"
GNA11	"常染色体显性低钙血症2型(615361,AD)"
GNAL	"肌张力障碍25型(615073,AD)"
GNAO1	"早期幼儿癫痫性脑病17型(615473,AD);神经发育障碍伴非自主性运动症(617493,AD)"
GNAQ	"Sturge-Weber综合征(185300,IC)"
GNAS	"生长激素垂体腺瘤(102200,AD,SMu);不依赖ACTH巨结节肾上腺增生症(219080,IC);假性假甲状旁腺功能减退症(612463,AD)"
GNB1	"常染色体显性精神发育迟滞42型(616973,AD)"
GNB4	"腓骨肌萎缩症显性中间F型(615185,AD)"
GNE	"Nonaka肌病(605820,AR);涎尿(269921,AD)"
GNPAT	"肢近端型点状软骨发育不良2型(222765,AR)"
GNPTAB	"黏脂质贮积症Ⅱα/β型(252500,AR);黏脂质贮积症Ⅲα/β型(252600,AR)"
GNPTG	"黏脂质贮积症Ⅲγ型(252605,AR)"
GNS	"黏多糖贮积症Ⅲd型(252940,AR)"
GOSR2	"进行性肌阵挛癫痫6型(614018,AR)"
GPC3	"Simpson-Golabi-Behmel综合征1型(312870,XLR)"
GPD1L	"Brugada综合征2型(611777,AD)"
GPHN	"遗传性钼缺乏症，互补群C(615501,AR)"
GPI	"葡萄糖磷酸异构酶缺乏症(613470,AR)"
GPSM2	"Chudley-McCullough综合征(604213,AR)"
