location	phenotype	pheno_mim	inherit	mapping_key	gene_related	gene_mim	annovar_gene
17p13.1	Osteosarcoma	259500	AR	3	TP53	191170	TP53
22q12.1	"Osteosarcoma, somatic"	259500	None	3	CHEK2	604373	CHEK2
16q12.2	"Multicentric osteolysis, nodulosis, and arthropathy"	259600	AR	3	MMP2	120360	MMP2
11q13.2	"Osteopetrosis, autosomal recessive 1"	259700	AR	3	TCIRG1	604592	TCIRG1
13q14.11	"Osteopetrosis, autosomal recessive 2"	259710	AR	3	TNFSF11	602642	TNFSF11
6q21	"Osteopetrosis, autosomal recessive 5"	259720	AR	3	OSTM1	607649	OSTM1
8q21.2	"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis"	259730	AR	3	CA2	611492	CA2
11q13.2	Osteoporosis-pseudoglioma syndrome	259770	AR	3	LRP5	603506	LRP5
7p22.3	Raine syndrome	259775	AR	3	FAM20C	611061	FAM20C
2q37.3	"Hyperoxaluria, primary, type 1"	259900	AR	3	AGXT	604285	AGXT
9p13.2	"Hyperoxaluria, primary, type II"	260000	AR	3	GRHPR	604296	GRHPR
8q24.3	5-oxoprolinase deficiency	260005	AD	3	OPLAH	614243	OPLAH
22q12.3	"Parkinson disease 15, autosomal recessive"	260300	AR	3	FBXO7	605648	FBXO7
12p12.1	"Pancreatic carcinoma, somatic"	260350	None	3	KRAS	190070	KRAS
17p13.1	Pancreatic cancer	260350	AD	3	TP53	191170	TP53
18q21.2	"Pancreatic cancer, somatic"	260350	None	3	SMAD4	600993	SMAD4
19p13.3	Pancreatic cancer	260350	AD	3	STK11	602216	STK11
13q12.2	Pancreatic agenesis 1	260370	AR	3	PDX1	600733	PDX1
7q11.21	Shwachman-Diamond syndrome	260400	AR	3	SBDS	607444	SBDS
17p13.1	Choroid plexus papilloma	260500	AD	3	TP53	191170	TP53
17q21.31	"Supranuclear palsy, progressive atypical"	260540	AR	3	MAPT	157140	MAPT
17q12	PEHO syndrome	260565	AR	3	ZNHIT3	604500	ZNHIT3
4q24	"Leukodystrophy, hypomyelinating, 3"	260600	AR	3	AIMP1	603605	AIMP1
1p12	Cousin syndrome	260660	AR	3	TBX15	604127	TBX15
17q25.3	[Pentosuria]	260800	AR	3	DCXR	608347	DCXR
12q24.11	Hyper-IgD syndrome	260920	AR	3	MVK	251170	MVK
11q12.1	Intrinsic factor deficiency	261000	AR	3	GIF	609342	GIF
10p13	"Megaloblastic anemia-1, Finnish type"	261100	AR	3	CUBN	602997	CUBN
14q32.32	"Megaloblastic anemia-1, Norwegian type"	261100	AR	3	AMN	605799	AMN
17q22	[Eosinophil peroxidase deficiency]	261500	AR	3	EPX	131399	EPX
5q23.1	D-bifunctional protein deficiency	261515	AR	3	HSD17B4	601860	HSD17B4
13q12.3	Peters-plus syndrome	261540	AR	3	B3GLCT	610308	B3GLCT
12q13.13	"Persistent Mullerian duct syndrome, type II"	261550	AR	3	AMHR2	600956	AMHR2
19p13.3	"Persistent Mullerian duct syndrome, type I"	261550	AR	3	AMH	600957	AMH
12q23.2	Phenylketonuria	261600	AR	3	PAH	612349	PAH
12q23.2	"[Hyperphenylalaninemia, non-PKU mild]"	261600	AR	3	PAH	612349	PAH
4p15.32	"Hyperphenylalaninemia, BH4-deficient, C"	261630	AR	3	QDPR	612676	QDPR
11q23.1	"Hyperphenylalaninemia, BH4-deficient, A"	261640	AR	3	PTS	612719	PTS
7p13	Glycogen storage disease X	261670	AR	3	PGAM2	612931	PGAM2
20q13.31	"?Phosphoenolpyruvate carboxykinase deficiency, cytosolic"	261680	AR	3	PCK1	614168	PCK1
7q36.1	"Glycogen storage disease of heart, lethal congenital"	261740	AD	3	PRKAG2	602743	PRKAG2
16q12.1	"Phosphorylase kinase deficiency of liver and muscle, autosomal recessive"	261750	AR	3	PHKB	172490	PHKB
2q35	Bjornstad syndrome	262000	AR	3	BCS1L	603647	BCS1L
19p13.2	Rabson-Mendenhall syndrome	262190	AR	3	INSR	147670	INSR
8q21.3	Achromatopsia 3	262300	AR	3	CNGB3	605080	CNGB3
17q23.3	"Growth hormone deficiency, isolated, type IA"	262400	AR	3	GH1	139250	GH1
5p13-p12	Laron dwarfism	262500	AR	3	GHR	600946	GHR
5q35.3	"Pituitary hormone deficiency, combined, 2"	262600	AR	3	PROP1	601538	PROP1
17q23.3	Kowarski syndrome	262650	AR	3	GH1	139250	GH1
1q25.2	"Pituitary hormone deficiency, combined, 4"	262700	AD	3	LHX4	602146	LHX4
17p13.3	Alpha-2-plasmin inhibitor deficiency	262850	AR	3	PLI	613168	SERPINF2
12q12	Scott syndrome	262890	AR	3	ANO6	608663	ANO6
6p12.3-p12.2	"Polycystic kidney disease 4, with or without hepatic disease"	263200	AR	3	FCYT	606702	PKHD1
11q23.1	Gillessen-Kaesbach-Nishimura syndrome	263210	AR	3	ALG9	606941	ALG9
9p24.1	"Polycythemia vera, somatic"	263300	None	3	JAK2	147796	JAK2
3p25.3	"Erythrocytosis, familial, 2"	263400	AR	3	VHL	608537	VHL
4q33	Short-rib thoracic dysplasia 6 with or without polydactyly	263520	AR	3	NEK1	604588	NEK1
3p12.2	"Polyglucosan body disease, adult form"	263570	AR	3	GBE1	607839	GBE1
21q22.3	"Popliteal pterygium syndrome, Bartsocas-Papas type"	263650	AR	3	RIPK4	605706	RIPK4
10q26.2	"Porphyria, congenital erythropoietic"	263700	AR	3	UROS	606938	UROS
16q22.2	Miller syndrome	263750	AR	3	DHODH	126064	DHODH
16q13	Gitelman syndrome	263800	AR	3	SLC12A3	600968	SLC12A3
10q22.1	"Hyperphenylalaninemia, BH4-deficient, D"	264070	AR	3	PCBD1	126090	PCBD1
9q22.32	"Pseudohermaphroditism, male, with gynecomastia"	264300	AR	3	HSD17B3	605573	HSD17B3
12p13.31	"Pseudohypoaldosteronism, type I"	264350	AR	3	SCNN1A	600228	SCNN1A
16p12.2	"Pseudohypoaldosteronism, type I"	264350	AR	3	SCNN1G	600761	SCNN1G
16p12.2	"Pseudohypoaldosteronism, type I"	264350	AR	3	SCNN1B	600760	SCNN1B
17q25.1	Peroxisomal acyl-CoA oxidase deficiency	264470	AR	3	ACOX1	609751	ACOX1
2p23.1	Pseudovaginal perineoscrotal hypospadias	264600	AR	3	SRD5A2	607306	SRD5A2
12q14.1	"Vitamin D-dependent rickets, type I"	264700	AR	3	CYP27B1	609506	CYP27B1
16p13.11	Pseudoxanthoma elasticum	264800	AR	3	ABCC6	603234	ABCC6
16p12.3	"{Pseudoxanthoma elasticum, modifier of severity of}"	264800	AR	3	XYLT1	608124	XYLT1
17q21.33	"{Pseudoxanthoma elasticum, modifier of severity of}"	264800	AR	3	XYLT2	608125	XYLT2
2q37.1	Escobar syndrome	265000	AR	3	CHRNG	100730	CHRNG
2p25.3	3MC syndrome 2	265050	AR	3	COLEC11	612502	COLEC11
4p15.2	Pulmonary alveolar microlithiasis	265100	AR	3	SLC34A2	604217	SLC34A2
2p11.2	"Surfactant metabolism dysfunction, pulmonary, 1"	265120	AR	3	SFTPB	178640	SFTPB
16q24.1	Alveolar capillary dysplasia with misalignment of pulmonary veins	265380	AD	3	FOXF1	601089	FOXF1
2q33.1-q33.2	Pulmonary venoocclusive disease 1	265450	AD	3	BMPR2	600799	BMPR2
1q21.3	Pycnodysostosis	265800	AR	3	CTSK	601105	CTSK
7p14.1	Pyle disease	265900	AR	3	SFRP4	606570	SFRP4
5q23.2	"Epilepsy, pyridoxine-dependent"	266100	AR	3	ALDH7A1	107323	ALDH7A1
7p14.3	"Anemia, hemolytic, due to UMPH1 deficiency"	266120	AR	3	NT5C3A	606224	NT5C3A
20q11.22	Glutathione synthetase deficiency	266130	AR	3	GSS	601002	GSS
1q23.1	Pyropoikilocytosis	266140	AR	3	SPTA1	182860	SPTA1
11q13.2	Pyruvate carboxylase deficiency	266150	AR	3	PC	608786	PC
1q22	Pyruvate kinase deficiency	266200	AR	3	PKLR	609712	PKLR
11p11.2	"Congenital disorder of glycosylation, type IIc"	266265	AR	3	SLC35C1	605881	SLC35C1
8q24.3	RAPADILINO syndrome	266280	AR	3	RECQL4	603780	RECQL4
16q24.3	{UV-induced skin damage}	266300	AR	3	MC1R	155555	MC1R
16q24.3	"[Skin/hair/eye pigmentation 2, red hair/fair skin]"	266300	AR	3	MC1R	155555	MC1R
16q24.3	"[Skin/hair/eye pigmentation 2, blond hair/fair skin]"	266300	AR	3	MC1R	155555	MC1R
10p13	Refsum disease	266500	AR	3	PHYH	602026	PHYH
17q12	Peroxisome biogenesis disorder 3B	266510	AR	3	PEX12	601758	PEX12
7p15.3	{Crohn disease-associated growth failure}	266600	Mu	3	IL6	147620	IL6
16q12.1	"{Inflammatory bowel disease 1, Crohn disease}"	266600	Mu	3	NOD2	605956	NOD2
2q13	Senior-Loken syndrome-1	266900	AR	3	NPHP1	607100	NPHP1
16p13.3	Short-rib thoracic dysplasia 9 with or without polydactyly	266920	AR	3	IFT140	614620	IFT140
2q37.1	Perlman syndrome	267000	AR	3	DIS3L2	614184	DIS3L2
3q22.1	Meckel syndrome 7	267010	AR	3	NPHP3	608002	NPHP3
2p13.3	Renal tubular acidosis with deafness	267300	AR	3	ATP6B1	192132	ATP6V1B1
1q32.1	Renal tubular dysgenesis	267430	AR	3	REN	179820	REN
1q42.2	Renal tubular dysgenesis	267430	AR	3	AGT	106150	AGT
3q24	Renal tubular dysgenesis	267430	AR	3	AGTR1	106165	AGTR1
17q23.3	Renal tubular dysgenesis	267430	AR	3	ACE	106180	ACE
1p35.1	Reticular dysgenesis	267500	AR	3	AK2	103020	AK2
21q22.3	"Knobloch syndrome, type 1"	267750	AR	3	COL18A1	120328	COL18A1
15q23	Enhanced S-cone syndrome	268100	AR	3	NR2E3	604485	NR2E3
14q12	Revesz syndrome	268130	AD	3	TINF2	604319	TINF2
6p12.3	"Anemia, hemolytic, Rh-null, regulator type"	268150	AD	3	RHAG	180297	RHAG
2p25.1	"Myoglobinuria, acute recurrent, autosomal recessive"	268200	AR	3	LPIN1	605518	LPIN1
11p15.4	"Rhabdomyosarcoma, somatic"	268210	None	3	SLC22A1L	602631	SLC22A18
1p36.13	"Rhabdomyosarcoma 2, alveolar"	268220	AR	3	PAX7	167410	PAX7
2q36.1	"Rhabdomyosarcoma 2, alveolar"	268220	AR	3	PAX3	606597	PAX3
13q14.11	"Rhabdomyosarcoma, alveolar"	268220	AR	3	FOXO1A	136533	FOXO1
8p21.1	Roberts syndrome	268300	AR	3	ESCO2	609353	ESCO2
17q25.3	Robin sequence with cleft mandible and limb anomalies	268305	AR	3	DDX48	608546	EIF4A3
9q22.31	"Robinow syndrome, autosomal recessive"	268310	AR	3	ROR2	602337	ROR2
8q24.3	Rothmund-Thomson syndrome	268400	AR	3	RECQL4	603780	RECQL4
5q13.3	"Sandhoff disease, infantile, juvenile, and adult forms"	268800	AR	3	HEXB	606873	HEXB
9q34.2	[Sarcosinemia]	268900	AR	3	SARDH	604455	SARDH
8p21.1	SC phocomelia syndrome	269000	AR	3	ESCO2	609353	ESCO2
18q12.3	Schinzel-Giedion midface retraction syndrome	269150	AD	3	SETBP1	611060	SETBP1
2p21	Schizencephaly	269160	None	3	SIX3	603714	SIX3
7q36.3	Schizencephaly	269160	None	3	SHH	600725	SHH
10q26.11	Schizencephaly	269160	None	3	EMX2	600035	EMX2
13q34	Schizencephaly	269160	None	3	COL4A1	120130	COL4A1
1p31.3	Schneckenbecken dysplasia	269250	AR	3	SLC35D1	610804	SLC35D1
2p25.3	"Anterior segment dysgenesis 7, with sclerocornea"	269400	AR	3	PXDN	605158	PXDN
17q21.31	Sclerosteosis 1	269500	AR	3	SOST	605740	SOST
19q13.32	Sea-blue histiocyte disease	269600	AR	3	APOE	107741	APOE
11q12.3	"Lipodystrophy, congenital generalized, type 2"	269700	AR	3	BSCL2	606158	BSCL2
2q11.2	Immunodeficiency 48	269840	AR	3	ZAP70	176947	ZAP70
5q13.1	SHORT syndrome	269880	AD	3	PIK3R1	171833	PIK3R1
6q13	"Sialic acid storage disorder, infantile"	269920	AR	3	SLC17A5	604322	SLC17A5
9p13.3	Sialuria	269921	AD	3	GNE	603824	GNE
10q22.1	"Heterotaxy, visceral, 5"	270100	AD	3	NODAL	601265	NODAL
17p11.2	Sjogren-Larsson syndrome	270200	AR	3	ALDH3A2	609523	ALDH3A2
6p21.33	Peeling skin syndrome 1	270300	AR	3	CDSN	602593	CDSN
11q13.4	Smith-Lemli-Opitz syndrome	270400	AR	3	DHCR7	602858	DHCR7
19q13.2	"Diarrhea 3, secretory sodium, congenital, syndromic"	270420	AR	3	SPINT2	605124	SPINT2
15q26.3	"Insulin-like growth factor I, resistance to"	270450	AD	3	IGF1R	147370	IGF1R
13q12.12	"Spastic ataxia, Charlevoix-Saguenay type"	270550	AR	3	SACS	604490	SACS
11q12.3	Silver spastic paraplegia syndrome	270685	AD	3	BSCL2	606158	BSCL2
14q24.1	"Spastic paraplegia 15, autosomal recessive"	270700	AR	3	ZFYVE26	612012	ZFYVE26
1q32.1	Spastic paraplegia 23	270750	AR	3	DSTYK	612666	DSTYK
8q12.3	"Spastic paraplegia 5A, autosomal recessive"	270800	AR	3	CYP7B1	603711	CYP7B1
12q23.2	Spermatogenic failure 4	270960	AD	3	SYCP3	604759	SYCP3
12q23.2	"Pregnancy loss, recurrent, 4"	270960	AD	3	SYCP3	604759	SYCP3
1q23.1	"Spherocytosis, type 3"	270970	AR	3	SPTA1	182860	SPTA1
5q13.2	Spinal muscular atrophy-4	271150	AR	3	SMN1	600354	SMN1
10q24.31	Mitochondrial DNA depletion syndrome 7 (hepatocerebral type)	271245	AR	3	TWNK	606075	C10orf2
3p22.1	"Asplenia, isolated congenital"	271400	AD	3	RPSA	150370	RPSA
1p36.33	"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures"	271640	AR	3	B3GALT6	615291	B3GALT6
1q23.3	"Spondylometaepiphyseal dysplasia, short limb-hand type"	271665	AR	3	DDR2	191311	DDR2
12q13.11	Spondyloperipheral dysplasia	271700	AD	3	COL2A1	120140	COL2A1
17p13.2	Canavan disease	271900	AR	3	ASPA	608034	ASPA
19q13.33	"Striatonigral degeneration, infantile"	271930	AR	3	NUP62	605815	NUP62
6p22.3	Succinic semialdehyde dehydrogenase deficiency	271980	AR	3	ALDH5A1	610045	ALDH5A1
3p22.2	"{Sudden infant death syndrome, susceptibility to}"	272120	AR	3	SCN5A	600163	SCN5A
3p26.1	Multiple sulfatase deficiency	272200	AR	3	SUMF1	607939	SUMF1
12q13.2	Sulfite oxidase deficiency	272300	AR	3	SUOX	606887	SUOX
19p13.11	Cold-induced sweating syndrome 1	272430	AR	3	CRLF1	604237	CRLF1
2q14.1	Filippi syndrome	272440	AR	3	CKAP2L	616174	CKAP2L
3p14.3	Spondylocarpotarsal synostosis syndrome	272460	AR	3	FLNB	603381	FLNB
5q33.1	"GM2-gangliosidosis, AB variant"	272750	AR	3	GM2A	613109	GM2A
15q23	Tay-Sachs disease	272800	AR	3	HEXA	606869	HEXA
15q23	[Hex A pseudodeficiency]	272800	AR	3	HEXA	606869	HEXA
15q23	"GM2-gangliosidosis, several forms"	272800	AR	3	HEXA	606869	HEXA
1p22.3	"{Male germ cell tumor, somatic},"	273300	None	3	BCL10	603517	BCL10
4p16.3	"Spermatocytic seminoma, somatic"	273300	None	3	FGFR3	134934	FGFR3
4q12	"Germ cell tumors, somatic"	273300	None	3	KIT	164920	KIT
19p13.3	"Testicular tumor, somatic"	273300	None	3	STK11	602216	STK11
17q21.31-q21.32	?Tetra-amelia syndrome	273395	AR	3	WNT3	165330	WNT3
6p21.1	3-M syndrome 1	273750	AR	3	CUL7	609577	CUL7
17q21.31	Glanzmann thrombasthenia	273800	AR	3	ITGA2B	607759	ITGA2B
17q21.32	Glanzmann thrombasthenia	273800	AR	3	ITGB3	173470	ITGB3
5p13.1	Thrombocytopenia 3	273900	AR	3	FYB	602731	FYB
1q21.1	Thrombocytopenia-absent radius syndrome	274000	AR	3	RBM8A	605313	RBM8A
9q34.2	"Thrombotic thrombocytopenic purpura, familial"	274150	AR	3	ADAMTS13	604134	ADAMTS13
1p21.3	5-fluorouracil toxicity	274270	AR	3	DPYD	612779	DPYD
1p21.3	Dihydropyrimidine dehydrogenase deficiency	274270	AR	3	DPYD	612779	DPYD
3p24.2	"Thyroid hormone resistance, autosomal recessive"	274300	AR	3	THRB	190160	THRB
19p13.11	Thyroid dyshormonogenesis 1	274400	AR	3	SLC5A5	601843	SLC5A5
2p25.3	Thyroid dyshormonogenesis 2A	274500	AR	3	TPO	606765	TPO
7q22.3	Pendred syndrome	274600	AR	3	SLC26A4	605646	SLC26A4
8q24.22	Thyroid dyshormonogenesis 3	274700	AR	3	TG	188450	TG
6q25.1	Thyroid dyshormonogenesis 4	274800	AR	3	IYD	612025	IYD
15q21.1	Thyroid dyshormonogenesis 5	274900	AR	3	DUOXA2	612772	DUOXA2
1p13.2	"Hypothyroidism, congenital, nongoitrous 4"	275100	AR	3	TSHB	188540	TSHB
14q31.1	"Hypothyroidism, congenital, nongoitrous, 1"	275200	AR	3	TSHR	603372	TSHR
1p34.2	"Restrictive dermopathy, lethal"	275210	AR	3	ZMPSTE24	606480	ZMPSTE24
1q22	"Restrictive dermopathy, lethal"	275210	AR	3	LMNA	150330	LMNA
22q12.2	Transcobalamin II deficiency	275350	AR	3	TCN2	613441	TCN2
8p21.3	"Squamous cell carcinoma, head and neck"	275355	AR	3	TNFRSF10B	603612	TNFRSF10B
10q23.31	"Squamous cell carcinoma, head and neck, somatic"	275355	None	3	PTEN	601728	PTEN
13q34	"Squamous cell carcinoma, head and neck, somatic"	275355	None	3	ING1	601566	ING1
19p13.2	Oliver-McFarlane syndrome	275400	AR	3	PNPLA6	603197	PNPLA6
3p21.33	Chanarin-Dorfman syndrome	275630	AR	3	ABHD5	604780	ABHD5
13q13.3	Troyer syndrome	275900	AR	3	SPG20	607111	SPG20
2p21-p16	Mismatch repair cancer syndrome	276300	AR	3	MSH2	609309	MSH2
2p16.3	Mismatch repair cancer syndrome	276300	AR	3	MSH6	600678	MSH6
3p22.2	Mismatch repair cancer syndrome	276300	AR	3	MLH1	120436	MLH1
7p22.1	Mismatch repair cancer syndrome	276300	AR	3	PMS2	600259	PMS2
16q22.2	"Tyrosinemia, type II"	276600	AR	3	TAT	613018	TAT
15q25.1	"Tyrosinemia, type I"	276700	AR	3	FAH	613871	FAH
12q24.31	"Tyrosinemia, type III"	276710	AR	3	HPD	609695	HPD
3p25.1	"Ulna and fibula, absence of, with severe limb deficiency"	276820	AR	3	WNT7A	601570	WNT7A
3q21.3	?Urocanase deficiency	276880	AR	3	UROC1	613012	UROC1
11q13.5	"Usher syndrome, type 1B"	276900	AR	3	MYO7A	276903	MYO7A
1q41	"Usher syndrome, type 2A"	276901	AR	3	USH2A	608400	USH2A
10q24.31	"{Retinal disease in Usher syndrome type IIA, modifier of}"	276901	AR	3	PDZD7	612971	PDZD7
3q25.1	"Usher syndrome, type 3A"	276902	AR	3	CLRN1	606397	CLRN1
11p15.1	"Usher syndrome, type 1C"	276904	AR	3	USH1C	605242	USH1C
10q23.31	VATER association with macrocephaly and ventriculomegaly	276950	AR	3	PTEN	601728	PTEN
5p13.2	Orofaciodigital syndrome VI	277170	AR	3	C5orf42	614571	C5orf42
7q31.2	Congenital bilateral absence of vas deferens	277180	AR	3	CFTR	602421	CFTR
19q13.2	"Spondylocostal dysostosis 1, autosomal recessive"	277300	AR	3	DLL3	602768	DLL3
6q13	"Methylmalonic aciduria and homocystinuria, cblF type"	277380	AR	3	LMBRD1	612625	LMBRD1
1p34.1	"Methylmalonic aciduria and homocystinuria, cblC type"	277400	AR	3	MMACHC	609831	MMACHC
2q23.2	"Methylmalonic aciduria, cblD type, variant 2"	277410	AR	3	C2orf25	611935	MMADHC
2q23.2	"Methylmalonic aciduria and homocystinuria, cblD type"	277410	AR	3	C2orf25	611935	MMADHC
2q23.2	"Homocystinuria, cblD type, variant 1"	277410	AR	3	C2orf25	611935	MMADHC
12q13.11	"Rickets, vitamin D-resistant, type IIA"	277440	AR	3	VDR	601769	VDR
2p11.2	"Vitamin K-dependent clotting factors, combined deficiency of, 1"	277450	AR	3	GGCX	137167	GGCX
8q12.3	Ataxia with isolated vitamin E deficiency	277460	AR	3	TTPA	600415	TTPA
17q25.1	Pontocerebellar hypoplasia type 2A	277470	AR	3	TSEN54	608755	TSEN54
12p13.31	"von Willibrand disease, type 3"	277480	AR	3	VWF	613160	VWF
13q22.3	"Waardenburg syndrome, type 4A"	277580	AD	3	EDNRB	131244	EDNRB
7q36.1	Weaver syndrome	277590	AD	3	EZH2	601573	EZH2
19p13.2	"Weill-Marchesani syndrome 1, recessive"	277600	AR	3	ADAMTS10	608990	ADAMTS10
8p12	Werner syndrome	277700	AR	3	RECQL2	604611	WRN
13q14.3	Wilson disease	277900	AR	3	ATP7B	606882	ATP7B
14q11.2	?Winchester syndrome	277950	None	3	MMP14	600754	MMP14
10q23.31	Wolman disease	278000	AR	3	LIPA	613497	LIPA
10q23.31	Cholesteryl ester storage disease	278000	AR	3	LIPA	613497	LIPA
13q14.2	"Woolly hair, autosomal recessive 1, with or without hypotrichosis"	278150	AR	3	LPAR6	609239	LPAR6
13q14.2	Hypotrichosis 8	278150	AR	3	LPAR6	609239	LPAR6
12q24.31	Wrinkly skin syndrome	278250	AR	3	ATP6V0A2	611716	ATP6V0A2
2p23.1	"Xanthinuria, type I"	278300	AR	3	XDH	607633	XDH
9q22.33	"Xeroderma pigmentosum, group A"	278700	AR	3	XPA	611153	XPA
3p25.1	"Xeroderma pigmentosum, group C"	278720	AR	3	XPC	613208	XPC
19q13.32	"Xeroderma pigmentosum, group D"	278730	AR	3	ERCC2	126340	ERCC2
11p11.2	"Xeroderma pigmentosum, group E, DDB-negative subtype"	278740	AR	3	DDB2	600811	DDB2
6p21.1	"Xeroderma pigmentosum, variant type"	278750	AR	3	POLH	603968	POLH
16p13.12	"Xeroderma pigmentosum, type F/Cockayne syndrome"	278760	AR	3	ERCC4	133520	ERCC4
16p13.12	"Xeroderma pigmentosum, group F"	278760	AR	3	ERCC4	133520	ERCC4
13q33.1	"Xeroderma pigmentosum, group G/Cockayne syndrome"	278780	AR	3	ERCC5	133530	ERCC5
13q33.1	"Xeroderma pigmentosum, group G"	278780	AR	3	ERCC5	133530	ERCC5
10q11.23	De Sanctis-Cacchione syndrome	278800	AR	3	ERCC6	609413	ERCC6
17p11.2	CHIME syndrome	280000	AR	3	PIGL	605947	PIGL
Xp22.2	"Opitz GBBB syndrome, type I"	300000	XLR	3	MID1	300552	MID1
Xp21.3	Proud syndrome	300004	XL	3	ARX	300382	ARX
Xp11.23	Dent disease	300009	XLR	3	CLCN5	300008	CLCN5
Xp21.2	"46XY sex reversal 2, dosage-sensitive"	300018	XL	3	NR0B1	300473	NR0B1
Xp11.4	Retinitis pigmentosa 3	300029	None	3	RPGR	312610	RPGR
Xq28	"Intestinal pseudoobstruction, neuronal"	300048	XLR	3	FLNA	300017	FLNA
Xq28	Congenital short bowel syndrome	300048	XLR	3	FLNA	300017	FLNA
Xq28	"Heterotopia, periventricular"	300049	XLD	3	FLNA	300017	FLNA
Xq28	"Mental retardation, X-linked, syndromic 13"	300055	XLR	3	MECP2	300005	MECP2
Xp22.12	"Deafness, X-linked 4"	300066	XLD	3	SMPX	300226	SMPX
Xq23	"Subcortical laminal heterotopia, X-linked"	300067	XL	3	DCX	300121	DCX
Xq23	"Lissencephaly, X-linked"	300067	XL	3	DCX	300121	DCX
Xq12	Androgen insensitivity	300068	XLR	3	AR	313700	AR
Xp11.23	"Night blindness, congenital stationary (incomplete), 2A, X-linked"	300071	XL	3	CACNA1F	300110	CACNA1F
Xq13.2	"X-inactivation, familial skewed"	300087	None	3	XIC	314670	XIST
Xq22.1	"Epileptic encephalopathy, early infantile, 9"	300088	XL	3	PCDH19	300460	PCDH19
Xq28	Adrenoleukodystrophy	300100	XLR	3	ABCD1	300371	ABCD1
Xq28	"Adrenomyeloneuropathy, adult"	300100	XLR	3	ABCD1	300371	ABCD1
Xq28	"Spondyloepimetaphyseal dysplasia, X-linked"	300106	XLR	3	BGN	301870	BGN
Xp22.2	"Mental retardation, X-linked 49/15"	300114	XLR	3	CLCN4	302910	CLCN4
Xq27.1	"Mental retardation, X-linked, with isolated growth hormone deficiency"	300123	None	3	SOX3	313430	SOX3
Xp21.3-p21.2	"Mental retardation, X-linked 21/34"	300143	XLR	3	IL1RAPL1	300206	IL1RAPL1
Xp11.4	"Microphthalmia, syndromic 2"	300166	XLD	3	BCOR	300485	BCOR
Xp21.2	"Adrenal hypoplasia, congenital"	300200	XLR	3	NR0B1	300473	NR0B1
Xp22.2	"Simpson-Golabi-Behmel syndrome, type 2"	300209	XLR	3	OFD1	300170	OFD1
Xp11.4	"Mental retardation, X-linked 58"	300210	XLR	3	TSPAN7	300096	TSPAN7
Xp21.3	"Lissencephaly, X-linked 2"	300215	XL	3	ARX	300382	ARX
Xp21.3	Hydranencephaly with abnormal genitalia	300215	XL	3	ARX	300382	ARX
Xq26.3	"?Mental retardation, X-linked, syndromic 11, Shashi type"	300238	XLR	3	RBMX	300199	RBMX
Xq26.3	"Mental retardation, X-linked syndromic, Christianson type"	300243	XLD	3	SLC9A6	300231	SLC9A6
Xq28	Terminal osseous dysplasia	300244	XLD	3	FLNA	300017	FLNA
Xq24	Danon disease	300257	XLD	3	LAMP2	309060	LAMP2
Xq28	"Mental retardation, X-linked syndromic, Lubs type"	300260	XLR	3	MECP2	300005	MECP2
Xp11.22	"Mental retardation syndrome, X-linked, Siderius type"	300263	XLR	3	PHF8	300560	PHF8
Xq28	"Mental retardation, X-linked 72"	300271	XLR	3	RAB39B	300774	RAB39B
Xq26.3	?Uruguay faciocardiomusculoskeletal syndrome	300280	XLR	3	FHL1	300163	FHL1
Xq28	"Ectodermal dysplasia, hypohidrotic, with immune deficiency"	300291	None	3	IKBKG	300248	IKBKG
Xp11.23	"Neutropenia, severe congenital, X-linked"	300299	XLR	3	WAS	300392	WAS
Xq28	"Ectodermal, dysplasia, anhidrotic, lymphedema and immunodeficiency"	300301	None	3	IKBKG	300248	IKBKG
Xq28	FG syndrome 2	300321	None	3	FLNA	300017	FLNA
Xq26.2-q26.3	Lesch-Nyhan syndrome	300322	XLR	3	HPRT1	308000	HPRT1
Xq26.2-q26.3	HPRT-related gout	300323	XLR	3	HPRT1	308000	HPRT1
Xq28	Cerebral creatine deficiency syndrome 1	300352	XLR	3	SLC6A8	300036	SLC6A8
Xq24	"Mental retardation, X-linked, syndromic 15 (Cabezas type)"	300354	XLR	3	CUL4B	300304	CUL4B
Xp11.23	"Thrombocytopenia, X-linked, with or without dyserythropoietic anemia"	300367	XLR	3	GATA1	305371	GATA1
Xq11.2	Osteopathia striata with cranial sclerosis	300373	XLD	3	AMER1	300647	AMER1
Xp21.2-p21.1	Becker muscular dystrophy	300376	XLR	3	DMD	300377	DMD
Xq23	"Mental retardation, X-linked 63"	300387	XLD	3	ACSL4	300157	ACSL4
Xq13.1	"Severe combined immunodeficiency, X-linked"	300400	XLR	3	IL2RG	308380	IL2RG
Xp21.3	"Mental retardation, X-linked 29 and others"	300419	XLR	3	ARX	300382	ARX
Xp11.4	FG syndrome 4	300422	None	3	CASK	300172	CASK
Xp11.4	"Mental retardation, with or without nystagmus"	300422	None	3	CASK	300172	CASK
Xp11.4	"Mental retardation, X-linked, syndromic, Hedera type"	300423	XLR	3	ATP6AP2	300556	ATP6AP2
Xp22.2	?Retinitis pigmentosa 23	300424	XLR	3	OFD1	300170	OFD1
Xq13.1	"{Autism susceptibility, X-linked 1}"	300425	Mu	3	NLGN3	300336	NLGN3
